4096 256 1000
Processor | comm. time | comp. time | total time
__________|____________|____________|___________
        0 |    594.803 |    729.789 |   1324.843
        1 |    477.049 |    847.632 |   1324.684
        2 |    484.873 |    839.798 |   1324.683
        3 |    592.700 |    731.895 |   1324.685
        4 |    481.828 |    842.847 |   1324.685
        5 |    166.543 |   1158.235 |   1324.781
        6 |    151.583 |   1173.207 |   1324.795
        7 |    475.712 |    848.968 |   1324.794
        8 |    469.380 |    855.343 |   1324.797
        9 |    154.437 |   1170.370 |   1324.811
       10 |    148.492 |   1176.343 |   1324.840
       11 |    475.447 |    849.267 |   1324.841
       12 |    590.868 |    733.725 |   1324.842
       13 |    474.355 |    850.326 |   1324.842
       14 |    476.255 |    848.418 |   1324.842
       15 |    589.313 |    735.290 |   1324.843

