512 64 500
Processor | comm. time | comp. time | total time
__________|____________|____________|___________
        0 |      3.119 |      1.735 |      4.864
        1 |      2.761 |      2.097 |      4.859
        2 |      2.765 |      2.093 |      4.859
        3 |      3.118 |      1.736 |      4.859
        4 |      2.761 |      2.097 |      4.859
        5 |      2.210 |      2.649 |      4.859
        6 |      2.184 |      2.675 |      4.860
        7 |      2.746 |      2.112 |      4.860
        8 |      2.712 |      2.146 |      4.860
        9 |      2.211 |      2.652 |      4.864
       10 |      2.228 |      2.635 |      4.864
       11 |      2.720 |      2.138 |      4.864
       12 |      3.133 |      1.724 |      4.864
       13 |      2.729 |      2.099 |      4.864
       14 |      2.721 |      2.108 |      4.864
       15 |      3.124 |      1.733 |      4.864

512 64 500
Processor | comm. time | comp. time | total time
__________|____________|____________|___________
        0 |      2.552 |      2.301 |      4.858
        1 |      1.748 |      3.106 |      4.854
        2 |      1.733 |      3.121 |      4.854
        3 |      2.540 |      2.312 |      4.854
        4 |      1.746 |      3.108 |      4.854
        5 |      0.607 |      4.249 |      4.856
        6 |      0.571 |      4.285 |      4.857
        7 |      1.699 |      3.154 |      4.857
        8 |      1.642 |      3.213 |      4.857
        9 |      0.209 |      4.648 |      4.857
       10 |      0.530 |      4.326 |      4.857
       11 |      1.370 |      3.484 |      4.857
       12 |      2.527 |      2.325 |      4.858
       13 |      1.410 |      3.444 |      4.857
       14 |      1.732 |      3.122 |      4.857
       15 |      2.524 |      2.328 |      4.857

