4096 128 2000
Processor | comm. time | comp. time | total time
__________|____________|____________|___________
        0 |    627.986 |    648.080 |   1276.279
        1 |    569.102 |    706.985 |   1276.091
        2 |    571.211 |    704.876 |   1276.091
        3 |    631.474 |    644.593 |   1276.091
        4 |    573.243 |    702.841 |   1276.091
        5 |    352.981 |    923.121 |   1276.106
        6 |    326.597 |    949.514 |   1276.114
        7 |    566.167 |    709.921 |   1276.115
        8 |    555.106 |    721.141 |   1276.250
        9 |    338.114 |    938.157 |   1276.275
       10 |    330.223 |    946.050 |   1276.277
       11 |    567.526 |    708.719 |   1276.277
       12 |    622.484 |    653.588 |   1276.278
       13 |    564.355 |    711.725 |   1276.278
       14 |    566.041 |    710.042 |   1276.282
       15 |    612.775 |    663.290 |   1276.278

