4096 512 500
Processor | comm. time | comp. time | total time
__________|____________|____________|___________
        0 |    855.893 |    925.805 |   1782.732
        1 |    608.362 |   1173.702 |   1782.067
        2 |    617.041 |   1165.086 |   1782.131
        3 |    846.106 |    935.517 |   1782.134
        4 |    615.240 |   1166.807 |   1782.132
        5 |    105.270 |   1677.251 |   1782.524
        6 |     64.999 |   1717.693 |   1782.697
        7 |    599.790 |   1182.199 |   1782.701
        8 |    604.147 |   1178.017 |   1782.701
        9 |     80.703 |   1702.019 |   1782.725
       10 |     79.033 |   1703.675 |   1782.725
       11 |    601.526 |   1180.486 |   1782.729
       12 |    854.493 |    927.174 |   1782.731
       13 |    602.901 |   1179.185 |   1782.729
       14 |    611.456 |   1170.670 |   1782.730
       15 |    850.761 |    930.840 |   1782.732

