4096 64 4000
Processor | comm. time | comp. time | total time
__________|____________|____________|___________
        0 |    653.740 |    605.003 |   1258.842
        1 |    616.105 |    642.643 |   1258.753
        2 |    619.624 |    639.124 |   1258.754
        3 |    652.933 |    605.791 |   1258.753
        4 |    603.940 |    654.808 |   1258.753
        5 |    428.810 |    829.942 |   1258.756
        6 |    412.230 |    846.526 |   1258.761
        7 |    592.569 |    666.179 |   1258.761
        8 |    597.822 |    660.990 |   1258.817
        9 |    418.060 |    840.774 |   1258.839
       10 |    410.777 |    848.048 |   1258.839
       11 |    601.645 |    656.220 |   1258.841
       12 |    646.871 |    611.851 |   1258.844
       13 |    608.593 |    650.118 |   1258.841
       14 |    609.859 |    648.768 |   1258.841
       15 |    643.440 |    615.234 |   1258.842

